,unit_weights
Beijing,0.032493183209687894
Chongqing,1.1026440433522051e-10
Fujian,7.735726036970434e-11
Gansu,1.5333062408890708e-09
Guangdong,9.749714349722695e-11
Hainan,0.05577367648576987
Heilongjiang,0.012450634850004945
Hubei,2.594842444996367e-10
Hunan,1.8467820638226944e-10
Jiangxi,2.4355835344317815e-10
Jilin,0.04265415818369549
Liaoning,0.03213940214841072
Ningxia,0.020272124053032962
Qinghai,0.026426264269002797
Shaanxi,0.013920451591191053
Shanghai,0.006427433115991313
Tianjin,2.4101916763350227e-10
Xinjiang,0.03362809624762717
Yunnan,1.09079680959672e-11
Haerbin,0.012450742100931254
Beijing 1,0.03249318320968789
Guangzhou,9.699472567486881e-11
Guangzhou 1,9.699472567486905e-11
Tianjin 1,2.4101916763353086e-10
Tianjin 2,2.4101916763353133e-10
Huhehaote,0.055994256003830525
Huhehaote 1,0.055994256003830525
Shijiazhuang,0.05814659010565246
Shenzhen,9.697087734428092e-11
Shenzhen 1,9.69708773442814e-11
Xian,0.013920502967584372
Chengdu,3.481500954678611e-11
Anyang,0.03577099211456
Langfang,0.05814660805775593
Quanzhou,7.671644234678325e-11
Nanchang,2.4259237058855467e-10
Tangshan,0.058146572120136006
Guangan,3.574306662310933e-11
Suuzhou,3.4897873359375994e-10
Beihai,0.042005997959834715
Guiyang,7.293338649573285e-11
Qingdao,0.033772925623985636
Beijing 2,0.032493183209687894
Wulumuqi,0.033628182969034505
Dalian,0.03213946423924551
Jilin 1,0.04265415818369548
Zhengzhou,0.03577089736389521
Shijiazhuang 1,0.05814659010565246
Nanjing,1.4634967267759495e-09
Gansu 1,1.5333062408890607e-09
Dalian 1,0.03213946460628498
Suzhou,1.4636999203395422e-09
