,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,四川省,510000,达州市,511700,16.89235797736269
1,2002,四川省,510000,达州市,511700,16.981709781134203
2,2003,四川省,510000,达州市,511700,16.692521909886814
3,2004,四川省,510000,达州市,511700,16.652820361208303
4,2005,四川省,510000,达州市,511700,16.594046438850892
5,2006,四川省,510000,达州市,511700,17.504775475749543
6,2007,四川省,510000,达州市,511700,17.198671326621234
7,2008,四川省,510000,达州市,511700,16.67916892464709
8,2009,四川省,510000,达州市,511700,17.00961869584794
9,2010,四川省,510000,达州市,511700,16.73748504022807
10,2011,四川省,510000,达州市,511700,16.714863373703963
11,2012,四川省,510000,达州市,511700,16.572965925274442
12,2013,四川省,510000,达州市,511700,17.80103102726456
13,2014,四川省,510000,达州市,511700,16.88355227788931
14,2015,四川省,510000,达州市,511700,17.619334146570356
15,2016,四川省,510000,达州市,511700,17.73364902904235
16,2017,四川省,510000,达州市,511700,17.31973853613687
17,2018,四川省,510000,达州市,511700,17.260859477361105
18,2019,四川省,510000,达州市,511700,17.182565646487785
19,2020,四川省,510000,达州市,511700,17.25670957684147
20,2021,四川省,510000,达州市,511700,17.29980492943361
21,2022,四川省,510000,达州市,511700,15.769869798813025
